trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,100,100,90,approach,true,outcome
2,80,83,65,approach,true,outcome
3,100,90,90,approach,true,outcome
4,100,106,75,approach,true,outcome
5,100,95,65,approach,true,outcome
6,40,33,55,approach,true,outcome
7,20,18,50,approach,true,outcome
8,40,42,60,approach,true,outcome
9,60,61,70,approach,true,outcome
10,100,88,85,approach,true,outcome
11,40,42,55,approach,true,outcome
12,100,99,85,approach,true,outcome
13,100,104,95,approach,true,outcome
14,80,82,75,approach,true,outcome
15,20,17,50,approach,true,outcome
16,60,62,65,approach,true,outcome
17,20,18,70,approach,true,outcome
18,60,69,70,approach,true,outcome
19,20,21,95,approach,true,outcome
20,80,80,75,approach,true,outcome
21,100,90,80,approach,true,outcome
22,80,80,55,approach,true,outcome
23,80,81,50,approach,true,outcome
24,80,70,85,approach,true,outcome
25,80,97,85,approach,true,outcome
26,80,83,80,approach,true,outcome
27,60,70,65,approach,true,outcome
28,60,53,90,approach,true,outcome
29,100,116,55,approach,true,outcome
30,40,34,60,approach,true,outcome
31,80,74,70,approach,true,outcome
32,80,84,80,approach,true,outcome
33,60,60,85,approach,true,outcome
34,60,45,50,approach,true,outcome
35,20,17,100,approach,true,outcome
36,100,108,80,approach,true,outcome
37,60,72,100,approach,true,outcome
38,20,21,85,approach,true,outcome
39,60,58,80,approach,true,outcome
40,60,64,95,approach,true,outcome
41,80,70,95,approach,true,outcome
42,60,63,60,approach,true,outcome
43,60,51,75,approach,true,outcome
44,100,99,95,approach,true,outcome
45,100,98,50,approach,true,outcome
46,60,64,60,approach,true,outcome
47,20,19,80,approach,true,outcome
48,60,67,75,approach,true,outcome
49,20,19,65,approach,true,outcome
50,20,21,55,approach,true,outcome
51,-40,-36,80,avoid,true,outcome
52,-100,-118,70,avoid,true,outcome
53,-40,-39,80,avoid,true,outcome
54,-40,-39,85,avoid,true,outcome
55,-60,-64,100,avoid,true,outcome
56,-60,-58,90,avoid,true,outcome
57,-20,-22,75,avoid,true,outcome
58,-20,-18,50,avoid,true,outcome
59,-100,-94,50,avoid,true,outcome
60,-80,-77,50,avoid,true,outcome
61,-60,-45,90,avoid,true,outcome
62,-60,-57,95,avoid,true,outcome
63,-20,-19,55,avoid,true,outcome
64,-60,-64,95,avoid,true,outcome
65,-20,-19,65,avoid,true,outcome
66,-40,-43,100,avoid,true,outcome
67,-80,-69,100,avoid,true,outcome
68,-60,-63,100,avoid,true,outcome
69,-20,-19,55,avoid,true,outcome
70,-20,-16,95,avoid,true,outcome
71,-100,-88,90,avoid,true,outcome
72,-80,-78,75,avoid,true,outcome
73,-20,-17,50,avoid,true,outcome
74,-20,-20,60,avoid,true,outcome
75,-100,-92,100,avoid,true,outcome
76,-20,-19,60,avoid,true,outcome
77,-40,-43,90,avoid,true,outcome
78,-20,-19,70,avoid,true,outcome
79,-20,-18,65,avoid,true,outcome
80,-20,-20,85,avoid,true,outcome
81,-80,-88,85,avoid,true,outcome
82,-60,-63,65,avoid,true,outcome
83,-60,-74,85,avoid,true,outcome
84,-80,-84,65,avoid,true,outcome
85,-100,-110,65,avoid,true,outcome
86,-20,-15,70,avoid,true,outcome
87,-80,-84,100,avoid,true,outcome
88,-80,-92,90,avoid,true,outcome
89,-60,-54,70,avoid,true,outcome
90,-100,-101,80,avoid,true,outcome
91,-40,-39,50,avoid,true,outcome
92,-60,-58,50,avoid,true,outcome
93,-40,-39,75,avoid,true,outcome
94,-100,-103,85,avoid,true,outcome
95,-20,-18,80,avoid,true,outcome
96,-40,-37,75,avoid,true,outcome
97,-20,-20,90,avoid,true,outcome
98,-40,-40,65,avoid,true,outcome
99,-80,-87,70,avoid,true,outcome
100,-100,-97,75,avoid,true,outcome
