trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,100,100,85,approach,true,outcome
2,100,110,90,approach,true,outcome
3,100,80,85,approach,true,outcome
4,80,68,55,approach,true,outcome
5,40,30,60,approach,true,outcome
6,20,24,50,approach,true,outcome
7,60,70,70,approach,true,outcome
8,60,73,70,approach,true,outcome
9,80,86,50,approach,true,outcome
10,60,65,75,approach,true,outcome
11,80,70,70,approach,true,outcome
12,80,95,65,approach,true,outcome
13,100,88,75,approach,true,outcome
14,80,74,80,approach,true,outcome
15,40,38,75,approach,true,outcome
16,100,92,90,approach,true,outcome
17,60,65,50,approach,true,outcome
18,40,39,55,approach,true,outcome
19,20,19,85,approach,true,outcome
20,100,97,95,approach,true,outcome
21,40,45,55,approach,true,outcome
22,40,37,95,approach,true,outcome
23,20,19,90,approach,true,outcome
24,60,62,55,approach,true,outcome
25,100,83,95,approach,true,outcome
26,20,19,60,approach,true,outcome
27,60,63,60,approach,true,outcome
28,60,66,65,approach,true,outcome
29,40,40,65,approach,true,outcome
30,80,74,85,approach,true,outcome
31,80,91,75,approach,true,outcome
32,80,78,75,approach,true,outcome
33,20,20,65,approach,true,outcome
34,80,81,80,approach,true,outcome
35,80,79,60,approach,true,outcome
36,40,37,50,approach,true,outcome
37,100,104,80,approach,true,outcome
38,60,53,65,approach,true,outcome
39,80,75,95,approach,true,outcome
40,60,57,95,approach,true,outcome
41,60,54,75,approach,true,outcome
42,20,20,50,approach,true,outcome
43,100,101,80,approach,true,outcome
44,40,40,85,approach,true,outcome
45,100,98,70,approach,true,outcome
46,40,42,80,approach,true,outcome
47,60,70,85,approach,true,outcome
48,60,66,90,approach,true,outcome
49,100,68,100,approach,true,outcome
50,40,44,60,approach,true,outcome
51,-20,-23,60,avoid,true,outcome
52,-20,-23,60,avoid,true,outcome
53,-60,-59,70,avoid,true,outcome
54,-40,-45,80,avoid,true,outcome
55,-20,-16,90,avoid,true,outcome
56,-20,-18,50,avoid,true,outcome
57,-80,-86,50,avoid,true,outcome
58,-40,-46,70,avoid,true,outcome
59,-40,-38,55,avoid,true,outcome
60,-100,-87,50,avoid,true,outcome
61,-20,-19,95,avoid,true,outcome
62,-60,-48,60,avoid,true,outcome
63,-40,-37,80,avoid,true,outcome
64,-40,-36,60,avoid,true,outcome
65,-60,-61,95,avoid,true,outcome
66,-100,-96,85,avoid,true,outcome
67,-40,-40,75,avoid,true,outcome
68,-80,-95,90,avoid,true,outcome
69,-80,-60,80,avoid,true,outcome
70,-100,-101,70,avoid,true,outcome
71,-60,-59,100,avoid,true,outcome
72,-40,-34,65,avoid,true,outcome
73,-60,-59,95,avoid,true,outcome
74,-60,-58,75,avoid,true,outcome
75,-100,-95,75,avoid,true,outcome
76,-80,-89,95,avoid,true,outcome
77,-20,-16,55,avoid,true,outcome
78,-20,-19,55,avoid,true,outcome
79,-60,-63,80,avoid,true,outcome
80,-60,-54,90,avoid,true,outcome
81,-60,-57,100,avoid,true,outcome
82,-20,-21,50,avoid,true,outcome
83,-20,-19,65,avoid,true,outcome
84,-60,-59,90,avoid,true,outcome
85,-80,-77,100,avoid,true,outcome
86,-100,-96,65,avoid,true,outcome
87,-60,-55,55,avoid,true,outcome
88,-40,-44,100,avoid,true,outcome
89,-100,-99,90,avoid,true,outcome
90,-40,-43,90,avoid,true,outcome
91,-20,-19,75,avoid,true,outcome
92,-40,-45,75,avoid,true,outcome
93,-80,-97,100,avoid,true,outcome
94,-60,-62,85,avoid,true,outcome
95,-100,-74,60,avoid,true,outcome
96,-40,-35,70,avoid,true,outcome
97,-100,-99,55,avoid,true,outcome
98,-20,-15,65,avoid,true,outcome
99,-20,-20,70,avoid,true,outcome
100,-40,-40,90,avoid,true,outcome
