trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,60,57,70,approach,true,outcome
2,20,19,55,approach,true,outcome
3,80,62,70,approach,true,outcome
4,60,69,70,approach,true,outcome
5,60,49,50,approach,true,outcome
6,40,36,55,approach,true,outcome
7,80,84,80,approach,true,outcome
8,40,35,80,approach,true,outcome
9,40,35,65,approach,true,outcome
10,80,72,80,approach,true,outcome
11,80,84,55,approach,true,outcome
12,40,49,55,approach,true,outcome
13,60,60,100,approach,true,outcome
14,100,88,85,approach,true,outcome
15,100,105,85,approach,true,outcome
16,60,56,85,approach,true,outcome
17,20,19,95,approach,true,outcome
18,60,67,95,approach,true,outcome
19,20,18,85,approach,true,outcome
20,40,40,50,approach,true,outcome
21,80,72,75,approach,true,outcome
22,40,39,50,approach,true,outcome
23,60,61,60,approach,true,outcome
24,60,54,75,approach,true,outcome
25,80,77,85,approach,true,outcome
26,60,58,80,approach,true,outcome
27,60,56,65,approach,true,outcome
28,80,70,75,approach,true,outcome
29,100,85,70,approach,true,outcome
30,100,98,90,approach,true,outcome
31,60,58,90,approach,true,outcome
32,60,73,55,approach,true,outcome
33,80,60,60,approach,true,outcome
34,80,80,65,approach,true,outcome
35,20,20,100,approach,true,outcome
36,60,68,65,approach,true,outcome
37,20,21,60,approach,true,outcome
38,40,36,60,approach,true,outcome
39,100,100,100,approach,true,outcome
40,100,105,90,approach,true,outcome
41,40,38,75,approach,true,outcome
42,80,86,50,approach,true,outcome
43,60,48,60,approach,true,outcome
44,20,23,70,approach,true,outcome
45,100,114,95,approach,true,outcome
46,40,38,100,approach,true,outcome
47,40,42,60,approach,true,outcome
48,20,20,50,approach,true,outcome
49,40,36,65,approach,true,outcome
50,20,20,55,approach,true,outcome
51,-40,-35,85,avoid,true,outcome
52,-60,-62,95,avoid,true,outcome
53,-40,-41,70,avoid,true,outcome
54,-60,-60,100,avoid,true,outcome
55,-60,-57,95,avoid,true,outcome
56,-40,-34,80,avoid,true,outcome
57,-20,-21,85,avoid,true,outcome
58,-80,-75,60,avoid,true,outcome
59,-100,-97,75,avoid,true,outcome
60,-20,-23,50,avoid,true,outcome
61,-40,-41,80,avoid,true,outcome
62,-60,-60,60,avoid,true,outcome
63,-60,-60,100,avoid,true,outcome
64,-40,-38,85,avoid,true,outcome
65,-80,-96,95,avoid,true,outcome
66,-20,-19,60,avoid,true,outcome
67,-20,-21,55,avoid,true,outcome
68,-80,-91,75,avoid,true,outcome
69,-20,-18,60,avoid,true,outcome
70,-20,-18,55,avoid,true,outcome
71,-60,-63,65,avoid,true,outcome
72,-20,-18,65,avoid,true,outcome
73,-60,-62,85,avoid,true,outcome
74,-20,-19,65,avoid,true,outcome
75,-40,-44,70,avoid,true,outcome
76,-40,-33,90,avoid,true,outcome
77,-60,-75,75,avoid,true,outcome
78,-80,-80,100,avoid,true,outcome
79,-60,-55,90,avoid,true,outcome
80,-100,-120,55,avoid,true,outcome
81,-80,-81,100,avoid,true,outcome
82,-80,-80,50,avoid,true,outcome
83,-60,-55,90,avoid,true,outcome
84,-40,-35,60,avoid,true,outcome
85,-20,-20,95,avoid,true,outcome
86,-60,-68,70,avoid,true,outcome
87,-80,-69,90,avoid,true,outcome
88,-20,-17,50,avoid,true,outcome
89,-100,-104,65,avoid,true,outcome
90,-40,-38,95,avoid,true,outcome
91,-100,-96,100,avoid,true,outcome
92,-100,-94,80,avoid,true,outcome
93,-100,-97,90,avoid,true,outcome
94,-60,-51,50,avoid,true,outcome
95,-20,-23,75,avoid,true,outcome
96,-60,-53,55,avoid,true,outcome
97,-40,-38,75,avoid,true,outcome
98,-40,-40,75,avoid,true,outcome
99,-40,-35,50,avoid,true,outcome
100,-40,-49,65,avoid,true,outcome
