trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,100,92,85,approach,true,outcome
2,40,43,60,approach,true,outcome
3,100,99,85,approach,true,outcome
4,100,104,90,approach,true,outcome
5,100,113,90,approach,true,outcome
6,60,63,70,approach,true,outcome
7,80,90,80,approach,true,outcome
8,80,86,85,approach,true,outcome
9,100,114,80,approach,true,outcome
10,20,17,60,approach,true,outcome
11,40,36,80,approach,true,outcome
12,20,17,80,approach,true,outcome
13,60,63,65,approach,true,outcome
14,100,97,50,approach,true,outcome
15,40,43,60,approach,true,outcome
16,60,61,60,approach,true,outcome
17,20,20,50,approach,true,outcome
18,60,72,60,approach,true,outcome
19,40,42,55,approach,true,outcome
20,40,39,95,approach,true,outcome
21,20,18,85,approach,true,outcome
22,80,89,80,approach,true,outcome
23,20,21,50,approach,true,outcome
24,20,17,95,approach,true,outcome
25,80,78,90,approach,true,outcome
26,60,61,95,approach,true,outcome
27,60,50,80,approach,true,outcome
28,100,97,75,approach,true,outcome
29,40,45,100,approach,true,outcome
30,40,33,65,approach,true,outcome
31,100,104,65,approach,true,outcome
32,60,71,70,approach,true,outcome
33,60,56,65,approach,true,outcome
34,100,95,55,approach,true,outcome
35,80,81,70,approach,true,outcome
36,40,42,55,approach,true,outcome
37,40,41,50,approach,true,outcome
38,80,67,75,approach,true,outcome
39,80,73,70,approach,true,outcome
40,20,20,90,approach,true,outcome
41,60,58,85,approach,true,outcome
42,100,111,95,approach,true,outcome
43,60,58,90,approach,true,outcome
44,40,38,50,approach,true,outcome
45,80,94,75,approach,true,outcome
46,60,59,55,approach,true,outcome
47,80,72,100,approach,true,outcome
48,20,19,100,approach,true,outcome
49,40,39,65,approach,true,outcome
50,80,85,65,approach,true,outcome
51,-40,-38,90,avoid,true,outcome
52,-20,-20,80,avoid,true,outcome
53,-60,-62,90,avoid,true,outcome
54,-60,-63,70,avoid,true,outcome
55,-20,-17,60,avoid,true,outcome
56,-60,-47,65,avoid,true,outcome
57,-40,-40,90,avoid,true,outcome
58,-80,-75,85,avoid,true,outcome
59,-60,-57,55,avoid,true,outcome
60,-100,-105,90,avoid,true,outcome
61,-20,-21,55,avoid,true,outcome
62,-80,-83,100,avoid,true,outcome
63,-80,-95,65,avoid,true,outcome
64,-60,-64,90,avoid,true,outcome
65,-100,-95,70,avoid,true,outcome
66,-60,-54,80,avoid,true,outcome
67,-40,-40,85,avoid,true,outcome
68,-20,-20,55,avoid,true,outcome
69,-40,-37,80,avoid,true,outcome
70,-20,-15,65,avoid,true,outcome
71,-40,-43,80,avoid,true,outcome
72,-60,-64,95,avoid,true,outcome
73,-100,-104,55,avoid,true,outcome
74,-20,-18,60,avoid,true,outcome
75,-100,-108,95,avoid,true,outcome
76,-80,-76,95,avoid,true,outcome
77,-60,-64,95,avoid,true,outcome
78,-80,-75,80,avoid,true,outcome
79,-80,-82,50,avoid,true,outcome
80,-40,-41,95,avoid,true,outcome
81,-20,-18,75,avoid,true,outcome
82,-40,-44,100,avoid,true,outcome
83,-100,-107,75,avoid,true,outcome
84,-80,-74,90,avoid,true,outcome
85,-80,-73,75,avoid,true,outcome
86,-100,-97,80,avoid,true,outcome
87,-40,-48,75,avoid,true,outcome
88,-40,-37,75,avoid,true,outcome
89,-80,-77,70,avoid,true,outcome
90,-20,-20,65,avoid,true,outcome
91,-20,-23,100,avoid,true,outcome
92,-80,-73,100,avoid,true,outcome
93,-40,-33,85,avoid,true,outcome
94,-20,-18,70,avoid,true,outcome
95,-60,-52,50,avoid,true,outcome
96,-20,-21,70,avoid,true,outcome
97,-40,-39,55,avoid,true,outcome
98,-40,-42,60,avoid,true,outcome
99,-20,-22,85,avoid,true,outcome
100,-60,-62,60,avoid,true,outcome
