trial_in_block,outcome_level,actual_outcome,effort,action_type,trial_order,attention_focus,global_effort_state,block_number,trial_in_experiment,schedule_version
1,40,32,50,approach,order1,heart,normal,1,1,A_813
2,80,91,95,approach,order1,heart,normal,1,2,A_813
3,60,58,90,approach,order1,heart,normal,1,3,A_813
4,20,19,65,approach,order1,heart,normal,1,4,A_813
5,100,95,50,approach,order1,heart,normal,1,5,A_813
6,80,94,70,approach,order1,heart,normal,1,6,A_813
7,80,82,85,approach,order1,heart,normal,1,7,A_813
8,60,71,70,approach,order1,heart,normal,1,8,A_813
9,80,91,55,approach,order1,heart,normal,1,9,A_813
10,80,87,75,approach,order1,heart,normal,1,10,A_813
11,100,114,90,approach,order1,heart,normal,1,11,A_813
12,40,40,60,approach,order1,heart,normal,1,12,A_813
13,100,85,55,approach,order1,heart,normal,1,13,A_813
14,40,42,60,approach,order1,heart,normal,1,14,A_813
15,20,18,50,approach,order1,heart,normal,1,15,A_813
16,40,34,95,approach,order1,heart,normal,1,16,A_813
17,80,74,80,approach,order1,heart,normal,1,17,A_813
18,60,67,75,approach,order1,heart,normal,1,18,A_813
19,80,72,85,approach,order1,heart,normal,1,19,A_813
20,20,20,90,approach,order1,heart,normal,1,20,A_813
21,40,38,70,approach,order1,heart,normal,1,21,A_813
22,40,39,55,approach,order1,heart,normal,1,22,A_813
23,100,119,60,approach,order1,heart,normal,1,23,A_813
24,80,98,80,approach,order1,heart,normal,1,24,A_813
25,80,97,65,approach,order1,heart,normal,1,25,A_813
26,20,21,55,approach,order1,heart,normal,1,26,A_813
27,40,35,75,approach,order1,heart,normal,1,27,A_813
28,60,60,65,approach,order1,heart,normal,1,28,A_813
29,80,77,90,approach,order1,heart,normal,1,29,A_813
30,80,59,50,approach,order1,heart,normal,1,30,A_813
31,20,23,80,approach,order1,heart,normal,1,31,A_813
32,40,41,50,approach,order1,heart,normal,1,32,A_813
33,20,20,55,approach,order1,heart,normal,1,33,A_813
34,80,81,100,approach,order1,heart,normal,1,34,A_813
35,100,98,90,approach,order1,heart,normal,1,35,A_813
36,40,34,65,approach,order1,heart,normal,1,36,A_813
37,100,91,95,approach,order1,heart,normal,1,37,A_813
38,60,62,65,approach,order1,heart,normal,1,38,A_813
39,100,83,80,approach,order1,heart,normal,1,39,A_813
40,20,16,85,approach,order1,heart,normal,1,40,A_813
41,100,101,85,approach,order1,heart,normal,1,41,A_813
42,40,41,90,approach,order1,heart,normal,1,42,A_813
43,40,36,55,approach,order1,heart,normal,1,43,A_813
44,40,43,80,approach,order1,heart,normal,1,44,A_813
45,80,86,75,approach,order1,heart,normal,1,45,A_813
46,100,104,75,approach,order1,heart,normal,1,46,A_813
47,60,67,75,approach,order1,heart,normal,1,47,A_813
48,100,98,85,approach,order1,heart,normal,1,48,A_813
49,100,98,65,approach,order1,heart,normal,1,49,A_813
50,60,65,70,approach,order1,heart,normal,1,50,A_813
1,40,32,50,approach,order1,reward,normal,2,51,A_813
2,80,91,95,approach,order1,reward,normal,2,52,A_813
3,60,58,90,approach,order1,reward,normal,2,53,A_813
4,20,19,65,approach,order1,reward,normal,2,54,A_813
5,100,95,50,approach,order1,reward,normal,2,55,A_813
6,80,94,70,approach,order1,reward,normal,2,56,A_813
7,80,82,85,approach,order1,reward,normal,2,57,A_813
8,60,71,70,approach,order1,reward,normal,2,58,A_813
9,80,91,55,approach,order1,reward,normal,2,59,A_813
10,80,87,75,approach,order1,reward,normal,2,60,A_813
11,100,114,90,approach,order1,reward,normal,2,61,A_813
12,40,40,60,approach,order1,reward,normal,2,62,A_813
13,100,85,55,approach,order1,reward,normal,2,63,A_813
14,40,42,60,approach,order1,reward,normal,2,64,A_813
15,20,18,50,approach,order1,reward,normal,2,65,A_813
16,40,34,95,approach,order1,reward,normal,2,66,A_813
17,80,74,80,approach,order1,reward,normal,2,67,A_813
18,60,67,75,approach,order1,reward,normal,2,68,A_813
19,80,72,85,approach,order1,reward,normal,2,69,A_813
20,20,20,90,approach,order1,reward,normal,2,70,A_813
21,40,38,70,approach,order1,reward,normal,2,71,A_813
22,40,39,55,approach,order1,reward,normal,2,72,A_813
23,100,119,60,approach,order1,reward,normal,2,73,A_813
24,80,98,80,approach,order1,reward,normal,2,74,A_813
25,80,97,65,approach,order1,reward,normal,2,75,A_813
26,20,21,55,approach,order1,reward,normal,2,76,A_813
27,40,35,75,approach,order1,reward,normal,2,77,A_813
28,60,60,65,approach,order1,reward,normal,2,78,A_813
29,80,77,90,approach,order1,reward,normal,2,79,A_813
30,80,59,50,approach,order1,reward,normal,2,80,A_813
31,20,23,80,approach,order1,reward,normal,2,81,A_813
32,40,41,50,approach,order1,reward,normal,2,82,A_813
33,20,20,55,approach,order1,reward,normal,2,83,A_813
34,80,81,100,approach,order1,reward,normal,2,84,A_813
35,100,98,90,approach,order1,reward,normal,2,85,A_813
36,40,34,65,approach,order1,reward,normal,2,86,A_813
37,100,91,95,approach,order1,reward,normal,2,87,A_813
38,60,62,65,approach,order1,reward,normal,2,88,A_813
39,100,83,80,approach,order1,reward,normal,2,89,A_813
40,20,16,85,approach,order1,reward,normal,2,90,A_813
41,100,101,85,approach,order1,reward,normal,2,91,A_813
42,40,41,90,approach,order1,reward,normal,2,92,A_813
43,40,36,55,approach,order1,reward,normal,2,93,A_813
44,40,43,80,approach,order1,reward,normal,2,94,A_813
45,80,86,75,approach,order1,reward,normal,2,95,A_813
46,100,104,75,approach,order1,reward,normal,2,96,A_813
47,60,67,75,approach,order1,reward,normal,2,97,A_813
48,100,98,85,approach,order1,reward,normal,2,98,A_813
49,100,98,65,approach,order1,reward,normal,2,99,A_813
50,60,65,70,approach,order1,reward,normal,2,100,A_813
1,40,32,50,approach,order1,heart,shifted,3,101,A_813
2,80,91,95,approach,order1,heart,shifted,3,102,A_813
3,60,58,90,approach,order1,heart,shifted,3,103,A_813
4,20,19,65,approach,order1,heart,shifted,3,104,A_813
5,100,95,50,approach,order1,heart,shifted,3,105,A_813
6,80,94,70,approach,order1,heart,shifted,3,106,A_813
7,80,82,85,approach,order1,heart,shifted,3,107,A_813
