outcome_level,actual_outcome,effort,action_type,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
40,38,80,approach,1,order1,heart,shifted,1,1,schedule_B_2
60,56,65,approach,2,order1,heart,shifted,2,1,schedule_B_2
60,63,100,approach,3,order1,heart,shifted,3,1,schedule_B_2
80,80,85,approach,4,order1,heart,shifted,4,1,schedule_B_2
40,37,95,approach,5,order1,heart,shifted,5,1,schedule_B_2
40,41,55,approach,6,order1,heart,shifted,6,1,schedule_B_2
60,53,75,approach,7,order1,heart,shifted,7,1,schedule_B_2
20,21,50,approach,8,order1,heart,shifted,8,1,schedule_B_2
20,20,50,approach,9,order1,heart,shifted,9,1,schedule_B_2
40,40,60,approach,10,order1,heart,shifted,10,1,schedule_B_2
40,44,85,approach,11,order1,heart,shifted,11,1,schedule_B_2
20,20,70,approach,12,order1,heart,shifted,12,1,schedule_B_2
80,62,80,approach,13,order1,heart,shifted,13,1,schedule_B_2
100,101,70,approach,14,order1,heart,shifted,14,1,schedule_B_2
80,77,85,approach,15,order1,heart,shifted,15,1,schedule_B_2
80,79,75,approach,16,order1,heart,shifted,16,1,schedule_B_2
60,63,50,approach,17,order1,heart,shifted,17,1,schedule_B_2
80,72,75,approach,18,order1,heart,shifted,18,1,schedule_B_2
100,84,85,approach,19,order1,heart,shifted,19,1,schedule_B_2
80,70,70,approach,20,order1,heart,shifted,20,1,schedule_B_2
60,55,85,approach,21,order1,heart,shifted,21,1,schedule_B_2
80,72,100,approach,22,order1,heart,shifted,22,1,schedule_B_2
80,82,95,approach,23,order1,heart,shifted,23,1,schedule_B_2
100,88,90,approach,24,order1,heart,shifted,24,1,schedule_B_2
80,66,60,approach,25,order1,heart,shifted,25,1,schedule_B_2
40,42,100,approach,26,order1,heart,shifted,26,1,schedule_B_2
60,56,95,approach,27,order1,heart,shifted,27,1,schedule_B_2
60,49,70,approach,28,order1,heart,shifted,28,1,schedule_B_2
20,19,75,approach,29,order1,heart,shifted,29,1,schedule_B_2
100,105,80,approach,30,order1,heart,shifted,30,1,schedule_B_2
100,77,100,approach,31,order1,heart,shifted,31,1,schedule_B_2
60,68,80,approach,32,order1,heart,shifted,32,1,schedule_B_2
20,19,55,approach,33,order1,heart,shifted,33,1,schedule_B_2
60,56,75,approach,34,order1,heart,shifted,34,1,schedule_B_2
40,36,55,approach,35,order1,heart,shifted,35,1,schedule_B_2
100,98,60,approach,36,order1,heart,shifted,36,1,schedule_B_2
100,102,80,approach,37,order1,heart,shifted,37,1,schedule_B_2
40,51,70,approach,38,order1,heart,shifted,38,1,schedule_B_2
40,27,90,approach,39,order1,heart,shifted,39,1,schedule_B_2
20,22,90,approach,40,order1,heart,shifted,40,1,schedule_B_2
80,75,80,approach,41,order1,heart,shifted,41,1,schedule_B_2
20,19,100,approach,42,order1,heart,shifted,42,1,schedule_B_2
40,44,75,approach,43,order1,heart,shifted,43,1,schedule_B_2
