outcome_level,actual_outcome,effort,action_type,rating,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
80,80,85,approach,False,1,order1,reward,shifted,1,1,schedule_B_4
40,51,70,approach,False,2,order1,reward,shifted,2,1,schedule_B_4
20,20,60,approach,False,3,order1,reward,shifted,3,1,schedule_B_4
20,20,70,approach,False,4,order1,reward,shifted,4,1,schedule_B_4
100,105,80,approach,False,5,order1,reward,shifted,5,1,schedule_B_4
40,36,55,approach,False,6,order1,reward,shifted,6,1,schedule_B_4
80,70,70,approach,False,7,order1,reward,shifted,7,1,schedule_B_4
80,77,85,approach,True,8,order1,reward,shifted,8,1,schedule_B_4
20,19,100,approach,False,9,order1,reward,shifted,9,1,schedule_B_4
60,63,50,approach,False,10,order1,reward,shifted,10,1,schedule_B_4
40,41,55,approach,False,11,order1,reward,shifted,11,1,schedule_B_4
60,68,80,approach,False,12,order1,reward,shifted,12,1,schedule_B_4
40,27,90,approach,False,13,order1,reward,shifted,13,1,schedule_B_4
20,21,50,approach,False,14,order1,reward,shifted,14,1,schedule_B_4
20,20,50,approach,True,15,order1,reward,shifted,15,1,schedule_B_4
60,56,95,approach,False,16,order1,reward,shifted,16,1,schedule_B_4
60,49,70,approach,False,17,order1,reward,shifted,17,1,schedule_B_4
40,38,80,approach,False,18,order1,reward,shifted,18,1,schedule_B_4
60,73,65,approach,False,19,order1,reward,shifted,19,1,schedule_B_4
40,40,60,approach,False,20,order1,reward,shifted,20,1,schedule_B_4
60,56,65,approach,False,21,order1,reward,shifted,21,1,schedule_B_4
80,62,80,approach,False,22,order1,reward,shifted,22,1,schedule_B_4
60,49,70,approach,False,23,order1,reward,shifted,23,1,schedule_B_4
60,63,100,approach,True,24,order1,reward,shifted,24,1,schedule_B_4
80,82,95,approach,False,25,order1,reward,shifted,25,1,schedule_B_4
20,19,75,approach,False,26,order1,reward,shifted,26,1,schedule_B_4
100,77,100,approach,False,27,order1,reward,shifted,27,1,schedule_B_4
80,72,75,approach,False,28,order1,reward,shifted,28,1,schedule_B_4
20,19,55,approach,False,29,order1,reward,shifted,29,1,schedule_B_4
40,44,85,approach,False,30,order1,reward,shifted,30,1,schedule_B_4
40,42,100,approach,True,31,order1,reward,shifted,31,1,schedule_B_4
100,101,70,approach,False,32,order1,reward,shifted,32,1,schedule_B_4
80,72,100,approach,False,33,order1,reward,shifted,33,1,schedule_B_4
20,22,90,approach,False,34,order1,reward,shifted,34,1,schedule_B_4
40,37,65,approach,False,35,order1,reward,shifted,35,1,schedule_B_4
40,37,95,approach,False,36,order1,reward,shifted,36,1,schedule_B_4
80,66,60,approach,True,37,order1,reward,shifted,37,1,schedule_B_4
100,84,85,approach,False,38,order1,reward,shifted,38,1,schedule_B_4
60,55,85,approach,False,39,order1,reward,shifted,39,1,schedule_B_4
60,56,75,approach,False,40,order1,reward,shifted,40,1,schedule_B_4
100,93,85,approach,False,41,order1,reward,shifted,41,1,schedule_B_4
80,88,50,approach,False,42,order1,reward,shifted,42,1,schedule_B_4
80,79,75,approach,False,43,order1,reward,shifted,43,1,schedule_B_4
100,88,90,approach,False,44,order1,reward,shifted,44,1,schedule_B_4
100,98,90,approach,False,45,order1,reward,shifted,45,1,schedule_B_4
40,44,75,approach,True,46,order1,reward,shifted,46,1,schedule_B_4
100,98,60,approach,False,47,order1,reward,shifted,47,1,schedule_B_4
60,53,75,approach,False,48,order1,reward,shifted,48,1,schedule_B_4
80,75,80,approach,False,49,order1,reward,shifted,49,1,schedule_B_4
100,102,80,approach,True,50,order1,reward,shifted,50,1,schedule_B_4
80,72,100,approach,False,1,order2,reward,normal,51,2,schedule_B_4
100,98,60,approach,False,2,order2,reward,normal,52,2,schedule_B_4
60,55,85,approach,False,3,order2,reward,normal,53,2,schedule_B_4
20,20,60,approach,False,4,order2,reward,normal,54,2,schedule_B_4
40,36,55,approach,False,5,order2,reward,normal,55,2,schedule_B_4
100,98,90,approach,False,6,order2,reward,normal,56,2,schedule_B_4
80,72,75,approach,False,7,order2,reward,normal,57,2,schedule_B_4
40,38,80,approach,False,8,order2,reward,normal,58,2,schedule_B_4
20,19,75,approach,True,9,order2,reward,normal,59,2,schedule_B_4
80,66,60,approach,False,10,order2,reward,normal,60,2,schedule_B_4
60,53,75,approach,False,11,order2,reward,normal,61,2,schedule_B_4
60,56,65,approach,False,12,order2,reward,normal,62,2,schedule_B_4
20,19,100,approach,False,13,order2,reward,normal,63,2,schedule_B_4
60,68,80,approach,False,14,order2,reward,normal,64,2,schedule_B_4
40,41,55,approach,False,15,order2,reward,normal,65,2,schedule_B_4
100,77,100,approach,True,16,order2,reward,normal,66,2,schedule_B_4
20,20,70,approach,False,17,order2,reward,normal,67,2,schedule_B_4
80,82,95,approach,False,18,order2,reward,normal,68,2,schedule_B_4
