trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,60,69,70,approach,true,outcome
2,100,93,80,approach,true,outcome
3,20,18,50,approach,true,outcome
4,40,35,80,approach,true,outcome
5,40,43,55,approach,true,outcome
6,40,30,50,approach,true,outcome
7,40,46,55,approach,true,outcome
8,60,55,55,approach,true,outcome
9,60,61,70,approach,true,outcome
10,80,78,60,approach,true,outcome
11,100,114,55,approach,true,outcome
12,100,79,85,approach,true,outcome
13,20,19,60,approach,true,outcome
14,80,76,100,approach,true,outcome
15,80,89,70,approach,true,outcome
16,100,89,85,approach,true,outcome
17,100,98,90,approach,true,outcome
18,40,36,90,approach,true,outcome
19,100,100,60,approach,true,outcome
20,20,21,100,approach,true,outcome
21,20,17,65,approach,true,outcome
22,40,44,50,approach,true,outcome
23,100,109,90,approach,true,outcome
24,20,21,55,approach,true,outcome
25,100,109,95,approach,true,outcome
26,40,37,70,approach,true,outcome
27,40,39,75,approach,true,outcome
28,20,18,55,approach,true,outcome
29,100,97,50,approach,true,outcome
30,40,42,60,approach,true,outcome
31,60,55,85,approach,true,outcome
32,20,19,75,approach,true,outcome
33,80,74,75,approach,true,outcome
34,80,73,75,approach,true,outcome
35,100,93,65,approach,true,outcome
36,80,79,95,approach,true,outcome
37,60,53,100,approach,true,outcome
38,60,61,60,approach,true,outcome
39,100,116,80,approach,true,outcome
40,80,85,80,approach,true,outcome
41,60,58,60,approach,true,outcome
42,40,36,65,approach,true,outcome
43,80,74,80,approach,true,outcome
44,40,46,60,approach,true,outcome
45,20,20,50,approach,true,outcome
46,40,37,100,approach,true,outcome
47,80,81,55,approach,true,outcome
48,100,121,100,approach,true,outcome
49,20,20,85,approach,true,outcome
50,100,106,75,approach,true,outcome
51,-80,-77,65,avoid,true,outcome
52,-100,-103,60,avoid,true,outcome
53,-100,-111,65,avoid,true,outcome
54,-60,-62,80,avoid,true,outcome
55,-20,-20,60,avoid,true,outcome
56,-40,-37,80,avoid,true,outcome
57,-40,-36,80,avoid,true,outcome
58,-20,-18,60,avoid,true,outcome
59,-60,-58,90,avoid,true,outcome
60,-20,-18,85,avoid,true,outcome
61,-20,-21,55,avoid,true,outcome
62,-60,-52,70,avoid,true,outcome
63,-60,-56,95,avoid,true,outcome
64,-20,-20,55,avoid,true,outcome
65,-80,-76,75,avoid,true,outcome
66,-100,-100,85,avoid,true,outcome
67,-100,-88,75,avoid,true,outcome
68,-80,-67,55,avoid,true,outcome
69,-60,-46,65,avoid,true,outcome
70,-40,-45,95,avoid,true,outcome
71,-100,-114,55,avoid,true,outcome
72,-100,-105,90,avoid,true,outcome
73,-60,-59,55,avoid,true,outcome
74,-20,-18,50,avoid,true,outcome
75,-60,-58,50,avoid,true,outcome
76,-60,-72,75,avoid,true,outcome
77,-40,-41,70,avoid,true,outcome
78,-80,-73,85,avoid,true,outcome
79,-40,-39,70,avoid,true,outcome
80,-60,-55,95,avoid,true,outcome
81,-20,-20,95,avoid,true,outcome
82,-40,-40,85,avoid,true,outcome
83,-60,-58,85,avoid,true,outcome
84,-80,-76,100,avoid,true,outcome
85,-40,-39,75,avoid,true,outcome
86,-20,-19,65,avoid,true,outcome
87,-20,-21,50,avoid,true,outcome
88,-20,-19,70,avoid,true,outcome
89,-20,-19,75,avoid,true,outcome
90,-20,-17,65,avoid,true,outcome
91,-40,-35,65,avoid,true,outcome
92,-20,-19,80,avoid,true,outcome
93,-80,-83,95,avoid,true,outcome
94,-80,-85,70,avoid,true,outcome
95,-40,-38,75,avoid,true,outcome
96,-20,-19,70,avoid,true,outcome
97,-40,-41,55,avoid,true,outcome
98,-60,-59,90,avoid,true,outcome
99,-60,-63,100,avoid,true,outcome
100,-80,-74,100,avoid,true,outcome
