trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,60,69,100,approach,true,outcome
2,100,100,85,approach,true,outcome
3,100,101,85,approach,true,outcome
4,20,19,50,approach,true,outcome
5,40,31,85,approach,true,outcome
6,100,101,90,approach,true,outcome
7,40,33,95,approach,true,outcome
8,80,81,65,approach,true,outcome
9,40,37,55,approach,true,outcome
10,60,66,55,approach,true,outcome
11,80,78,60,approach,true,outcome
12,20,20,50,approach,true,outcome
13,80,71,100,approach,true,outcome
14,40,42,55,approach,true,outcome
15,60,58,65,approach,true,outcome
16,40,42,80,approach,true,outcome
17,60,64,75,approach,true,outcome
18,40,43,60,approach,true,outcome
19,100,97,70,approach,true,outcome
20,80,64,90,approach,true,outcome
21,20,17,100,approach,true,outcome
22,20,21,85,approach,true,outcome
23,100,110,80,approach,true,outcome
24,60,67,70,approach,true,outcome
25,100,94,100,approach,true,outcome
26,60,54,70,approach,true,outcome
27,60,65,60,approach,true,outcome
28,100,108,75,approach,true,outcome
29,60,60,60,approach,true,outcome
30,20,19,75,approach,true,outcome
31,40,34,90,approach,true,outcome
32,40,39,70,approach,true,outcome
33,40,45,60,approach,true,outcome
34,60,54,90,approach,true,outcome
35,80,76,80,approach,true,outcome
36,80,78,80,approach,true,outcome
37,100,96,80,approach,true,outcome
38,20,16,90,approach,true,outcome
39,40,37,65,approach,true,outcome
40,60,56,95,approach,true,outcome
41,80,77,75,approach,true,outcome
42,80,76,85,approach,true,outcome
43,60,60,75,approach,true,outcome
44,80,72,75,approach,true,outcome
45,20,23,65,approach,true,outcome
46,100,96,90,approach,true,outcome
47,40,45,50,approach,true,outcome
48,80,91,50,approach,true,outcome
49,80,81,95,approach,true,outcome
50,40,35,50,approach,true,outcome
51,-40,-48,80,avoid,true,outcome
52,-20,-23,85,avoid,true,outcome
53,-60,-61,75,avoid,true,outcome
54,-60,-59,95,avoid,true,outcome
55,-100,-107,100,avoid,true,outcome
56,-20,-21,60,avoid,true,outcome
57,-60,-43,90,avoid,true,outcome
58,-80,-77,90,avoid,true,outcome
59,-60,-67,90,avoid,true,outcome
60,-100,-94,50,avoid,true,outcome
61,-20,-21,55,avoid,true,outcome
62,-20,-24,60,avoid,true,outcome
63,-20,-19,65,avoid,true,outcome
64,-60,-64,95,avoid,true,outcome
65,-40,-39,60,avoid,true,outcome
66,-20,-16,50,avoid,true,outcome
67,-40,-39,80,avoid,true,outcome
68,-60,-65,85,avoid,true,outcome
69,-20,-16,50,avoid,true,outcome
70,-100,-121,95,avoid,true,outcome
71,-60,-67,55,avoid,true,outcome
72,-60,-51,100,avoid,true,outcome
73,-60,-51,100,avoid,true,outcome
74,-20,-20,55,avoid,true,outcome
75,-80,-86,75,avoid,true,outcome
76,-40,-38,65,avoid,true,outcome
77,-80,-78,70,avoid,true,outcome
78,-20,-19,75,avoid,true,outcome
79,-80,-84,85,avoid,true,outcome
80,-20,-22,80,avoid,true,outcome
81,-60,-64,50,avoid,true,outcome
82,-40,-42,75,avoid,true,outcome
83,-40,-42,70,avoid,true,outcome
84,-60,-64,60,avoid,true,outcome
85,-20,-20,90,avoid,true,outcome
86,-40,-47,50,avoid,true,outcome
87,-40,-36,85,avoid,true,outcome
88,-20,-17,70,avoid,true,outcome
89,-40,-42,70,avoid,true,outcome
90,-60,-68,80,avoid,true,outcome
91,-100,-97,85,avoid,true,outcome
92,-40,-38,75,avoid,true,outcome
93,-20,-20,100,avoid,true,outcome
94,-60,-54,65,avoid,true,outcome
95,-40,-42,90,avoid,true,outcome
96,-80,-89,80,avoid,true,outcome
97,-100,-85,90,avoid,true,outcome
98,-100,-105,70,avoid,true,outcome
99,-100,-104,55,avoid,true,outcome
100,-40,-49,85,avoid,true,outcome
