trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,20,20,50,approach,true,outcome
2,60,58,90,approach,true,outcome
3,60,53,85,approach,true,outcome
4,40,39,55,approach,true,outcome
5,40,38,55,approach,true,outcome
6,60,57,70,approach,true,outcome
7,40,33,60,approach,true,outcome
8,20,19,100,approach,true,outcome
9,60,58,55,approach,true,outcome
10,100,93,85,approach,true,outcome
11,100,106,85,approach,true,outcome
12,20,23,65,approach,true,outcome
13,100,102,65,approach,true,outcome
14,80,85,75,approach,true,outcome
15,80,94,95,approach,true,outcome
16,80,83,65,approach,true,outcome
17,100,115,70,approach,true,outcome
18,60,54,65,approach,true,outcome
19,60,59,75,approach,true,outcome
20,100,112,95,approach,true,outcome
21,80,85,50,approach,true,outcome
22,80,80,85,approach,true,outcome
23,100,109,90,approach,true,outcome
24,40,41,60,approach,true,outcome
25,60,63,60,approach,true,outcome
26,60,57,70,approach,true,outcome
27,80,81,80,approach,true,outcome
28,60,61,75,approach,true,outcome
29,100,95,60,approach,true,outcome
30,80,63,85,approach,true,outcome
31,20,19,75,approach,true,outcome
32,60,74,60,approach,true,outcome
33,60,43,80,approach,true,outcome
34,40,36,65,approach,true,outcome
35,20,19,55,approach,true,outcome
36,60,61,65,approach,true,outcome
37,100,111,80,approach,true,outcome
38,80,88,75,approach,true,outcome
39,80,90,70,approach,true,outcome
40,40,45,80,approach,true,outcome
41,100,93,90,approach,true,outcome
42,80,79,80,approach,true,outcome
43,40,38,75,approach,true,outcome
44,40,41,50,approach,true,outcome
45,40,38,50,approach,true,outcome
46,60,54,100,approach,true,outcome
47,40,47,90,approach,true,outcome
48,60,59,95,approach,true,outcome
49,20,18,90,approach,true,outcome
50,100,108,50,approach,true,outcome
51,-20,-22,65,avoid,true,outcome
52,-40,-42,80,avoid,true,outcome
53,-20,-21,85,avoid,true,outcome
54,-60,-71,95,avoid,true,outcome
55,-60,-75,95,avoid,true,outcome
56,-20,-20,50,avoid,true,outcome
57,-40,-42,90,avoid,true,outcome
58,-20,-21,50,avoid,true,outcome
59,-20,-18,60,avoid,true,outcome
60,-40,-43,100,avoid,true,outcome
61,-40,-33,85,avoid,true,outcome
62,-20,-23,60,avoid,true,outcome
63,-40,-51,80,avoid,true,outcome
64,-60,-61,75,avoid,true,outcome
65,-40,-38,95,avoid,true,outcome
66,-80,-66,95,avoid,true,outcome
67,-100,-104,95,avoid,true,outcome
68,-40,-41,85,avoid,true,outcome
69,-40,-40,55,avoid,true,outcome
70,-60,-45,90,avoid,true,outcome
71,-40,-47,65,avoid,true,outcome
72,-20,-19,75,avoid,true,outcome
73,-100,-100,65,avoid,true,outcome
74,-80,-87,85,avoid,true,outcome
75,-100,-103,75,avoid,true,outcome
76,-80,-79,75,avoid,true,outcome
77,-60,-65,100,avoid,true,outcome
78,-100,-99,80,avoid,true,outcome
79,-60,-56,50,avoid,true,outcome
80,-40,-37,60,avoid,true,outcome
81,-60,-62,100,avoid,true,outcome
82,-20,-20,65,avoid,true,outcome
83,-40,-39,90,avoid,true,outcome
84,-20,-18,55,avoid,true,outcome
85,-80,-78,80,avoid,true,outcome
86,-80,-70,100,avoid,true,outcome
87,-20,-18,55,avoid,true,outcome
88,-60,-69,90,avoid,true,outcome
89,-80,-71,60,avoid,true,outcome
90,-20,-21,70,avoid,true,outcome
91,-80,-75,100,avoid,true,outcome
92,-100,-100,70,avoid,true,outcome
93,-60,-54,80,avoid,true,outcome
94,-40,-39,50,avoid,true,outcome
95,-80,-78,65,avoid,true,outcome
96,-100,-116,50,avoid,true,outcome
97,-100,-86,55,avoid,true,outcome
98,-80,-79,70,avoid,true,outcome
99,-60,-62,85,avoid,true,outcome
100,-40,-34,70,avoid,true,outcome
