trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,40,46,55,approach,true,outcome
2,20,19,55,approach,true,outcome
3,60,57,70,approach,true,outcome
4,100,73,80,approach,true,outcome
5,60,59,70,approach,true,outcome
6,60,58,80,approach,true,outcome
7,20,18,50,approach,true,outcome
8,100,103,85,approach,true,outcome
9,100,104,85,approach,true,outcome
10,100,89,80,approach,true,outcome
11,40,36,55,approach,true,outcome
12,80,76,80,approach,true,outcome
13,20,21,55,approach,true,outcome
14,40,42,90,approach,true,outcome
15,60,52,55,approach,true,outcome
16,40,35,95,approach,true,outcome
17,20,21,100,approach,true,outcome
18,100,115,75,approach,true,outcome
19,80,79,75,approach,true,outcome
20,20,18,75,approach,true,outcome
21,80,88,75,approach,true,outcome
22,80,77,70,approach,true,outcome
23,100,107,95,approach,true,outcome
24,40,46,60,approach,true,outcome
25,20,21,85,approach,true,outcome
26,60,60,65,approach,true,outcome
27,20,21,90,approach,true,outcome
28,40,37,75,approach,true,outcome
29,80,78,80,approach,true,outcome
30,60,56,65,approach,true,outcome
31,40,39,80,approach,true,outcome
32,100,95,70,approach,true,outcome
33,80,78,90,approach,true,outcome
34,80,76,85,approach,true,outcome
35,100,100,90,approach,true,outcome
36,60,60,50,approach,true,outcome
37,20,20,95,approach,true,outcome
38,80,91,85,approach,true,outcome
39,100,84,65,approach,true,outcome
40,40,45,50,approach,true,outcome
41,100,97,90,approach,true,outcome
42,40,35,65,approach,true,outcome
43,80,78,60,approach,true,outcome
44,40,40,70,approach,true,outcome
45,80,88,50,approach,true,outcome
46,60,53,85,approach,true,outcome
47,80,81,70,approach,true,outcome
48,40,40,60,approach,true,outcome
49,60,49,95,approach,true,outcome
50,60,52,60,approach,true,outcome
51,-100,-93,75,avoid,true,outcome
52,-40,-37,80,avoid,true,outcome
53,-20,-17,50,avoid,true,outcome
54,-40,-37,80,avoid,true,outcome
55,-100,-96,80,avoid,true,outcome
56,-60,-59,70,avoid,true,outcome
57,-40,-35,95,avoid,true,outcome
58,-20,-21,60,avoid,true,outcome
59,-20,-20,95,avoid,true,outcome
60,-60,-57,80,avoid,true,outcome
61,-20,-23,90,avoid,true,outcome
62,-20,-17,55,avoid,true,outcome
63,-40,-43,50,avoid,true,outcome
64,-40,-40,65,avoid,true,outcome
65,-20,-15,65,avoid,true,outcome
66,-60,-64,95,avoid,true,outcome
67,-60,-63,95,avoid,true,outcome
68,-40,-33,85,avoid,true,outcome
69,-20,-22,75,avoid,true,outcome
70,-20,-20,60,avoid,true,outcome
71,-100,-94,95,avoid,true,outcome
72,-20,-19,65,avoid,true,outcome
73,-80,-75,100,avoid,true,outcome
74,-80,-77,95,avoid,true,outcome
75,-20,-17,80,avoid,true,outcome
76,-60,-53,90,avoid,true,outcome
77,-20,-18,55,avoid,true,outcome
78,-40,-42,85,avoid,true,outcome
79,-100,-107,65,avoid,true,outcome
80,-60,-71,100,avoid,true,outcome
81,-100,-93,90,avoid,true,outcome
82,-40,-47,90,avoid,true,outcome
83,-80,-72,75,avoid,true,outcome
84,-60,-48,65,avoid,true,outcome
85,-80,-88,80,avoid,true,outcome
86,-40,-42,70,avoid,true,outcome
87,-80,-83,100,avoid,true,outcome
88,-40,-36,60,avoid,true,outcome
89,-100,-108,85,avoid,true,outcome
90,-60,-60,100,avoid,true,outcome
91,-100,-105,60,avoid,true,outcome
92,-60,-61,90,avoid,true,outcome
93,-20,-17,70,avoid,true,outcome
94,-20,-21,70,avoid,true,outcome
95,-20,-19,50,avoid,true,outcome
96,-40,-38,75,avoid,true,outcome
97,-40,-36,70,avoid,true,outcome
98,-80,-90,60,avoid,true,outcome
99,-80,-71,55,avoid,true,outcome
100,-40,-38,75,avoid,true,outcome
