outcome_level,actual_outcome,effort,action_type,rating,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
-80,-87,65,avoid,False,1,order1,heart,normal,1,1,schedule_A_7
-60,-59,85,avoid,False,2,order1,heart,normal,2,1,schedule_A_7
-20,-17,70,avoid,False,3,order1,heart,normal,3,1,schedule_A_7
-60,-62,95,avoid,False,4,order1,heart,normal,4,1,schedule_A_7
-80,-88,100,avoid,True,5,order1,heart,normal,5,1,schedule_A_7
-20,-19,65,avoid,False,6,order1,heart,normal,6,1,schedule_A_7
-80,-93,50,avoid,False,7,order1,heart,normal,7,1,schedule_A_7
-40,-32,85,avoid,False,8,order1,heart,normal,8,1,schedule_A_7
-20,-22,55,avoid,False,9,order1,heart,normal,9,1,schedule_A_7
-20,-21,50,avoid,True,10,order1,heart,normal,10,1,schedule_A_7
-20,-18,95,avoid,False,11,order1,heart,normal,11,1,schedule_A_7
-40,-38,80,avoid,False,12,order1,heart,normal,12,1,schedule_A_7
-60,-59,50,avoid,False,13,order1,heart,normal,13,1,schedule_A_7
-60,-57,95,avoid,False,14,order1,heart,normal,14,1,schedule_A_7
-60,-61,55,avoid,False,15,order1,heart,normal,15,1,schedule_A_7
-100,-115,65,avoid,False,16,order1,heart,normal,16,1,schedule_A_7
-20,-21,75,avoid,False,17,order1,heart,normal,17,1,schedule_A_7
-20,-22,90,avoid,True,18,order1,heart,normal,18,1,schedule_A_7
-60,-52,80,avoid,False,19,order1,heart,normal,19,1,schedule_A_7
-40,-42,75,avoid,False,20,order1,heart,normal,20,1,schedule_A_7
-40,-37,90,avoid,False,21,order1,heart,normal,21,1,schedule_A_7
-60,-59,60,avoid,False,22,order1,heart,normal,22,1,schedule_A_7
-20,-19,65,avoid,False,23,order1,heart,normal,23,1,schedule_A_7
-40,-36,90,avoid,False,24,order1,heart,normal,24,1,schedule_A_7
-40,-39,50,avoid,False,25,order1,heart,normal,25,1,schedule_A_7
-60,-51,75,avoid,False,26,order1,heart,normal,26,1,schedule_A_7
-60,-63,100,avoid,False,27,order1,heart,normal,27,1,schedule_A_7
-100,-95,55,avoid,True,28,order1,heart,normal,28,1,schedule_A_7
-60,-58,100,avoid,False,29,order1,heart,normal,29,1,schedule_A_7
-80,-85,75,avoid,False,30,order1,heart,normal,30,1,schedule_A_7
-20,-20,60,avoid,False,31,order1,heart,normal,31,1,schedule_A_7
-40,-38,85,avoid,False,32,order1,heart,normal,32,1,schedule_A_7
-100,-100,60,avoid,False,33,order1,heart,normal,33,1,schedule_A_7
-20,-19,55,avoid,True,34,order1,heart,normal,34,1,schedule_A_7
-60,-54,65,avoid,False,35,order1,heart,normal,35,1,schedule_A_7
-40,-43,95,avoid,False,36,order1,heart,normal,36,1,schedule_A_7
-20,-21,60,avoid,False,37,order1,heart,normal,37,1,schedule_A_7
-100,-97,85,avoid,False,38,order1,heart,normal,38,1,schedule_A_7
-20,-20,100,avoid,False,39,order1,heart,normal,39,1,schedule_A_7
-40,-35,100,avoid,False,40,order1,heart,normal,40,1,schedule_A_7
-40,-41,70,avoid,False,41,order1,heart,normal,41,1,schedule_A_7
-60,-59,90,avoid,False,42,order1,heart,normal,42,1,schedule_A_7
-80,-86,95,avoid,False,43,order1,heart,normal,43,1,schedule_A_7
-20,-16,70,avoid,False,44,order1,heart,normal,44,1,schedule_A_7
-80,-93,80,avoid,True,45,order1,heart,normal,45,1,schedule_A_7
-80,-76,90,avoid,False,46,order1,heart,normal,46,1,schedule_A_7
-100,-103,80,avoid,False,47,order1,heart,normal,47,1,schedule_A_7
-100,-99,90,avoid,False,48,order1,heart,normal,48,1,schedule_A_7
-20,-17,50,avoid,False,49,order1,heart,normal,49,1,schedule_A_7
-40,-44,80,avoid,True,50,order1,heart,normal,50,1,schedule_A_7
-60,-51,75,avoid,False,1,order2,heart,shifted,51,2,schedule_A_7
-40,-38,85,avoid,False,2,order2,heart,shifted,52,2,schedule_A_7
-40,-35,100,avoid,False,3,order2,heart,shifted,53,2,schedule_A_7
-80,-76,90,avoid,False,4,order2,heart,shifted,54,2,schedule_A_7
-40,-38,80,avoid,True,5,order2,heart,shifted,55,2,schedule_A_7
-100,-100,60,avoid,False,6,order2,heart,shifted,56,2,schedule_A_7
-20,-22,90,avoid,False,7,order2,heart,shifted,57,2,schedule_A_7
-20,-21,75,avoid,False,8,order2,heart,shifted,58,2,schedule_A_7
-60,-59,50,avoid,False,9,order2,heart,shifted,59,2,schedule_A_7
-100,-99,90,avoid,True,10,order2,heart,shifted,60,2,schedule_A_7
-60,-61,55,avoid,False,11,order2,heart,shifted,61,2,schedule_A_7
-40,-44,80,avoid,False,12,order2,heart,shifted,62,2,schedule_A_7
-40,-37,90,avoid,False,13,order2,heart,shifted,63,2,schedule_A_7
-100,-97,85,avoid,False,14,order2,heart,shifted,64,2,schedule_A_7
-20,-17,50,avoid,False,15,order2,heart,shifted,65,2,schedule_A_7
-20,-22,55,avoid,False,16,order2,heart,shifted,66,2,schedule_A_7
